shelterBlock,plot,subplot,treatment,density,ERprop,AVprop,ERseedin,ERstem,ERseedout,AVseedin,AVstem,AVseedout
A,1,D1_A1_E9,consistentDry,Low density,0.9,0.1,18,8,30,2,18,18
A,1,D1_A10,consistentDry,Low density,0,1,0,0,NA,20,9,78
A,1,D1_A5_E5,consistentDry,Low density,0.5,0.5,10,3,70,10,4,76
A,1,D1_A9_E1,consistentDry,Low density,0.1,0.9,2,2,20,18,13,292
A,1,D1_E10,consistentDry,Low density,1,0,20,1,5,0,0,NA
A,1,D2_A1_E9,consistentDry,High density,0.9,0.1,180,15,312,20,11,6
A,1,D2_A10,consistentDry,High density,0,1,0,0,NA,200,52,295
A,1,D2_A5_E5,consistentDry,High density,0.5,0.5,100,18,288,100,58,380
A,1,D2_A9_E1,consistentDry,High density,0.1,0.9,20,3,20,180,35,320
A,1,D2_E10,consistentDry,High density,1,0,200,2,88,0,0,NA
A,2,D1_A1_E9,fallDry,Low density,0.9,0.1,18,3,20,2,11,36
A,2,D1_A10,fallDry,Low density,0,1,0,0,NA,20,10,190
A,2,D1_A5_E5,fallDry,Low density,0.5,0.5,10,10,325,10,3,0
A,2,D1_A9_E1,fallDry,Low density,0.1,0.9,2,2,70,18,12,162
A,2,D1_E10,fallDry,Low density,1,0,20,10,175,0,0,NA
A,2,D2_A1_E9,fallDry,High density,0.9,0.1,180,18,175,20,19,220
A,2,D2_A10,fallDry,High density,0,1,0,0,NA,200,10,20
A,2,D2_A5_E5,fallDry,High density,0.5,0.5,100,15,312,100,52,160
A,2,D2_A9_E1,fallDry,High density,0.1,0.9,20,20,0,180,75,685
A,2,D2_E10,fallDry,High density,1,0,200,30,350,0,0,NA
A,3,D1_A1_E9,controlRain,Low density,0.9,0.1,18,1,10,2,5,112
A,3,D1_A10,controlRain,Low density,0,1,0,0,NA,20,19,338
A,3,D1_A5_E5,controlRain,Low density,0.5,0.5,10,1,5,10,13,360
A,3,D1_A9_E1,controlRain,Low density,0.1,0.9,2,0,0,18,11,338
A,3,D1_E10,controlRain,Low density,1,0,20,4,65,0,0,NA
A,3,D2_A1_E9,controlRain,High density,0.9,0.1,180,22,62,20,2,564
A,3,D2_A10,controlRain,High density,0,1,0,0,NA,200,50,810
A,3,D2_A5_E5,controlRain,High density,0.5,0.5,100,12,0,100,72,1285
A,3,D2_A9_E1,controlRain,High density,0.1,0.9,20,3,0,180,95,1320
A,3,D2_E10,controlRain,High density,1,0,200,5,150,0,0,NA
A,4,D1_A1_E9,springDry,Low density,0.9,0.1,18,0,0,2,3,62
A,4,D1_A10,springDry,Low density,0,1,0,0,NA,20,5,134
A,4,D1_A5_E5,springDry,Low density,0.5,0.5,10,1,0,10,4,58
A,4,D1_A9_E1,springDry,Low density,0.1,0.9,2,1,10,18,7,112
A,4,D1_E10,springDry,Low density,1,0,20,2,185,0,0,NA
A,4,D2_A1_E9,springDry,High density,0.9,0.1,180,5,38,20,9,74
A,4,D2_A10,springDry,High density,0,1,0,0,NA,200,70,480
A,4,D2_A5_E5,springDry,High density,0.5,0.5,100,0,62,100,45,545
A,4,D2_A9_E1,springDry,High density,0.1,0.9,20,0,0,180,80,1175
A,4,D2_E10,springDry,High density,1,0,200,12,50,0,0,NA
B,5,D1_A1_E9,fallDry,Low density,0.9,0.1,18,1,120,2,2,0
B,5,D1_A10,fallDry,Low density,0,1,0,0,NA,20,13,152
B,5,D1_A5_E5,fallDry,Low density,0.5,0.5,10,10,85,10,3,102
B,5,D1_A9_E1,fallDry,Low density,0.1,0.9,2,1,20,18,4,240
B,5,D1_E10,fallDry,Low density,1,0,20,4,70,0,0,NA
B,5,D2_A1_E9,fallDry,High density,0.9,0.1,180,0,0,20,1,60
B,5,D2_A10,fallDry,High density,0,1,0,0,NA,200,2,95
B,5,D2_A5_E5,fallDry,High density,0.5,0.5,100,8,35,100,10,485
B,5,D2_A9_E1,fallDry,High density,0.1,0.9,20,6,90,180,12,690
B,5,D2_E10,fallDry,High density,1,0,200,2,50,0,0,NA
B,6,D1_A1_E9,controlRain,Low density,0.9,0.1,18,2,0,2,4,124
B,6,D1_A10,controlRain,Low density,0,1,0,0,NA,20,18,452
B,6,D1_A5_E5,controlRain,Low density,0.5,0.5,10,1,0,10,14,212
B,6,D1_A9_E1,controlRain,Low density,0.1,0.9,2,1,0,18,12,168
B,6,D1_E10,controlRain,Low density,1,0,20,2,160,0,0,NA
B,6,D2_A1_E9,controlRain,High density,0.9,0.1,180,8,300,20,12,616
B,6,D2_A10,controlRain,High density,0,1,0,0,NA,200,22,395
B,6,D2_A5_E5,controlRain,High density,0.5,0.5,100,5,138,100,48,770
B,6,D2_A9_E1,controlRain,High density,0.1,0.9,20,1,0,180,155,1025
B,6,D2_E10,controlRain,High density,1,0,200,5,638,0,0,NA
B,7,D1_A1_E9,springDry,Low density,0.9,0.1,18,3,350,2,2,48
B,7,D1_A10,springDry,Low density,0,1,0,0,NA,20,11,352
B,7,D1_A5_E5,springDry,Low density,0.5,0.5,10,1,0,10,9,272
B,7,D1_A9_E1,springDry,Low density,0.1,0.9,2,1,80,18,16,314
B,7,D1_E10,springDry,Low density,1,0,20,0,0,0,0,NA
B,7,D2_A1_E9,springDry,High density,0.9,0.1,180,0,0,20,17,158
B,7,D2_A10,springDry,High density,0,1,0,0,NA,200,32,NA
B,7,D2_A5_E5,springDry,High density,0.5,0.5,100,5,62,100,50,755
B,7,D2_A9_E1,springDry,High density,0.1,0.9,20,2,15,180,92,85
B,7,D2_E10,springDry,High density,1,0,200,5,80,0,0,NA
B,8,D1_A1_E9,consistentDry,Low density,0.9,0.1,18,0,0,2,2,34
B,8,D1_A10,consistentDry,Low density,0,1,0,0,NA,20,8,178
B,8,D1_A5_E5,consistentDry,Low density,0.5,0.5,10,1,25,10,10,154
B,8,D1_A9_E1,consistentDry,Low density,0.1,0.9,2,2,20,18,18,227
B,8,D1_E10,consistentDry,Low density,1,0,20,5,115,0,0,NA
B,8,D2_A1_E9,consistentDry,High density,0.9,0.1,180,5,50,20,18,138
B,8,D2_A10,consistentDry,High density,0,1,0,0,NA,200,20,205
B,8,D2_A5_E5,consistentDry,High density,0.5,0.5,100,2,0,100,25,605
B,8,D2_A9_E1,consistentDry,High density,0.1,0.9,20,4,295,180,45,825
B,8,D2_E10,consistentDry,High density,1,0,200,15,512,0,0,NA
C,9,D1_A1_E9,fallDry,Low density,0.9,0.1,18,18,190,2,3,26
C,9,D1_A10,fallDry,Low density,0,1,0,0,NA,20,6,68
C,9,D1_A5_E5,fallDry,Low density,0.5,0.5,10,10,115,10,10,198
C,9,D1_A9_E1,fallDry,Low density,0.1,0.9,2,2,110,18,9,108
C,9,D1_E10,fallDry,Low density,1,0,20,8,370,0,0,NA
C,9,D2_A1_E9,fallDry,High density,0.9,0.1,180,9,400,20,7,104
C,9,D2_A10,fallDry,High density,0,1,0,0,NA,200,22,520
C,9,D2_A5_E5,fallDry,High density,0.5,0.5,100,22,162,100,35,295
C,9,D2_A9_E1,fallDry,High density,0.1,0.9,20,4,105,180,82,105
C,9,D2_E10,fallDry,High density,1,0,200,22,975,0,0,NA
C,10,D1_A1_E9,consistentDry,Low density,0.9,0.1,18,12,185,2,3,34
C,10,D1_A10,consistentDry,Low density,0,1,0,0,NA,20,8,152
C,10,D1_A5_E5,consistentDry,Low density,0.5,0.5,10,10,80,10,6,70
C,10,D1_A9_E1,consistentDry,Low density,0.1,0.9,2,2,65,18,8,186
C,10,D1_E10,consistentDry,Low density,1,0,20,15,670,0,0,NA
C,10,D2_A1_E9,consistentDry,High density,0.9,0.1,180,5,188,20,10,100
C,10,D2_A10,consistentDry,High density,0,1,0,0,NA,200,32,550
C,10,D2_A5_E5,consistentDry,High density,0.5,0.5,100,12,138,100,42,465
C,10,D2_A9_E1,consistentDry,High density,0.1,0.9,20,6,65,180,88,775
C,10,D2_E10,consistentDry,High density,1,0,200,10,212,0,0,NA
C,11,D1_A1_E9,controlRain,Low density,0.9,0.1,18,2,0,2,2,54
C,11,D1_A10,controlRain,Low density,0,1,0,0,NA,20,2,20
C,11,D1_A5_E5,controlRain,Low density,0.5,0.5,10,3,60,10,13,216
C,11,D1_A9_E1,controlRain,Low density,0.1,0.9,2,0,0,18,15,234
C,11,D1_E10,controlRain,Low density,1,0,20,0,0,0,0,NA
C,11,D2_A1_E9,controlRain,High density,0.9,0.1,180,8,35,20,11,270
C,11,D2_A10,controlRain,High density,0,1,0,0,NA,200,52,630
C,11,D2_A5_E5,controlRain,High density,0.5,0.5,100,2,10,100,42,980
C,11,D2_A9_E1,controlRain,High density,0.1,0.9,20,1,0,180,72,310
C,11,D2_E10,controlRain,High density,1,0,200,0,0,0,0,NA
C,12,D1_A1_E9,springDry,Low density,0.9,0.1,18,0,30,2,2,20
C,12,D1_A10,springDry,Low density,0,1,0,0,NA,20,19,98
C,12,D1_A5_E5,springDry,Low density,0.5,0.5,10,3,35,10,20,98
C,12,D1_A9_E1,springDry,Low density,0.1,0.9,2,1,25,18,20,134
C,12,D1_E10,springDry,Low density,1,0,20,2,20,0,0,NA
C,12,D2_A1_E9,springDry,High density,0.9,0.1,180,2,45,20,7,92
C,12,D2_A10,springDry,High density,0,1,0,0,NA,200,32,255
C,12,D2_A5_E5,springDry,High density,0.5,0.5,100,8,50,100,60,275
C,12,D2_A9_E1,springDry,High density,0.1,0.9,20,2,35,180,82,330
C,12,D2_E10,springDry,High density,1,0,200,8,185,0,0,NA
D,13,D1_A1_E9,fallDry,Low density,0.9,0.1,18,2,85,2,5,132
D,13,D1_A10,fallDry,Low density,0,1,0,0,NA,20,17,364
D,13,D1_A5_E5,fallDry,Low density,0.5,0.5,10,9,190,10,10,174
D,13,D1_A9_E1,fallDry,Low density,0.1,0.9,2,2,75,18,18,224
D,13,D1_E10,fallDry,Low density,1,0,20,9,320,0,0,NA
D,13,D2_A1_E9,fallDry,High density,0.9,0.1,180,8,200,20,17,163
D,13,D2_A10,fallDry,High density,0,1,0,0,NA,200,35,775
D,13,D2_A5_E5,fallDry,High density,0.5,0.5,100,5,100,100,50,560
D,13,D2_A9_E1,fallDry,High density,0.1,0.9,20,4,115,180,75,930
D,13,D2_E10,fallDry,High density,1,0,200,22,675,0,0,NA
D,14,D1_A1_E9,consistentDry,Low density,0.9,0.1,18,4,190,2,2,46
D,14,D1_A10,consistentDry,Low density,0,1,0,0,NA,20,5,174
D,14,D1_A5_E5,consistentDry,Low density,0.5,0.5,10,5,115,10,2,58
D,14,D1_A9_E1,consistentDry,Low density,0.1,0.9,2,2,50,18,4,72
D,14,D1_E10,consistentDry,Low density,1,0,20,4,10,0,0,NA
D,14,D2_A1_E9,consistentDry,High density,0.9,0.1,180,5,150,20,8,120
D,14,D2_A10,consistentDry,High density,0,1,0,0,NA,200,48,590
D,14,D2_A5_E5,consistentDry,High density,0.5,0.5,100,8,125,100,22,525
D,14,D2_A9_E1,consistentDry,High density,0.1,0.9,20,2,15,180,55,435
D,14,D2_E10,consistentDry,High density,1,0,200,5,25,0,0,NA
D,15,D1_A1_E9,controlRain,Low density,0.9,0.1,18,0,0,2,3,48
D,15,D1_A10,controlRain,Low density,0,1,0,0,NA,20,15,190
D,15,D1_A5_E5,controlRain,Low density,0.5,0.5,10,1,5,10,4,176
D,15,D1_A9_E1,controlRain,Low density,0.1,0.9,2,1,35,18,6,154
D,15,D1_E10,controlRain,Low density,1,0,20,2,80,0,0,NA
D,15,D2_A1_E9,controlRain,High density,0.9,0.1,180,5,38,20,19,328
D,15,D2_A10,controlRain,High density,0,1,0,0,NA,200,48,670
D,15,D2_A5_E5,controlRain,High density,0.5,0.5,100,2,12,100,75,760
D,15,D2_A9_E1,controlRain,High density,0.1,0.9,20,2,5,180,120,915
D,15,D2_E10,controlRain,High density,1,0,200,5,150,0,0,NA
D,16,D1_A1_E9,springDry,Low density,0.9,0.1,18,0,0,2,0,0
D,16,D1_A10,springDry,Low density,0,1,0,0,NA,20,10,116
D,16,D1_A5_E5,springDry,Low density,0.5,0.5,10,3,10,10,12,0
D,16,D1_A9_E1,springDry,Low density,0.1,0.9,2,1,145,18,7,292
D,16,D1_E10,springDry,Low density,1,0,20,0,0,0,0,NA
D,16,D2_A1_E9,springDry,High density,0.9,0.1,180,8,138,20,10,120
D,16,D2_A10,springDry,High density,0,1,0,0,NA,200,5,145
D,16,D2_A5_E5,springDry,High density,0.5,0.5,100,5,25,100,78,165
D,16,D2_A9_E1,springDry,High density,0.1,0.9,20,1,0,180,58,0
D,16,D2_E10,springDry,High density,1,0,200,15,1638,0,0,NA
